term_str,n,n_chars,p,i,max_pos,n_pos,max_pos_group,stop,stem_porter,stem_snowball,stem_lancaster,tfidf_mean,dfidf,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
abandon,2,7,2.5649937350028022e-06,18.572613267270178,VB,2,VB,0,abandon,abandon,abandon,0.018473705054394256,14.099697098901123,0,0,0,1,0,1,0,1,0,0,-1
abandoned,10,9,1.282496867501401e-05,16.250685172382816,VBD,2,VB,0,abandon,abandon,abandon,0.03759019190856171,43.919311932074244,1,0,0,1,0,1,0,1,0,0,-1
abandonment,6,11,7.694981205008407e-06,16.987650766549024,NN,2,NN,0,abandon,abandon,abandon,0.020970253804658192,32.789316292376434,1,0,0,1,0,1,0,1,1,0,-1
abhor,1,5,1.2824968675014011e-06,19.572613267270178,VBP,1,VB,0,abhor,abhor,abh,0.026832828498168544,8.049848549450562,1,0,1,1,0,1,0,0,0,0,-1
abnormal,4,8,5.1299874700056045e-06,17.572613267270178,JJ,1,JJ,0,abnorm,abnorm,abnorm,0.05014466060933775,24.199394197802246,0,0,1,0,0,1,0,0,0,0,-1
abolish,1,7,1.2824968675014011e-06,19.572613267270178,VB,1,VB,0,abolish,abolish,abol,0.03985073539331962,8.049848549450562,1,0,0,0,0,1,0,0,0,0,-1
abominable,4,10,5.1299874700056045e-06,17.572613267270178,JJ,3,JJ,0,abomin,abomin,abomin,0.0575189179254937,24.199394197802246,0,0,1,1,0,1,0,0,0,0,-1
abomination,1,11,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,abomin,abomin,abomin,0.16099697098901125,8.049848549450562,1,0,1,1,0,1,0,0,0,0,-1
abortive,3,8,3.8474906025042036e-06,17.987650766549024,JJ,1,JJ,0,abort,abort,abort,0.022491381829767954,19.394658146188217,0,0,0,0,0,1,0,1,0,0,-1
absence,18,7,2.308494361502522e-05,15.402688265827866,NN,2,NN,0,absenc,absenc,abs,0.02306910199361031,53.57863258475287,0,0,0,1,0,1,0,1,0,0,-1
absent,28,6,3.590991229003923e-05,14.765258345212574,JJ,5,JJ,0,absent,absent,abs,0.019113768319266797,85.14980899189591,0,0,0,0,0,1,0,1,0,0,-1
abundant,2,8,2.5649937350028022e-06,18.572613267270178,VBZ,2,VB,0,abund,abund,abund,0.03004009822446466,14.099697098901123,0,0,0,0,1,0,1,0,0,0,1
abuse,5,5,6.412484337507005e-06,17.250685172382816,VB,2,VB,0,abus,abus,abus,0.03976499478979467,28.639602272815992,1,0,1,1,0,1,0,1,0,0,-1
abyss,4,5,5.1299874700056045e-06,17.572613267270178,NN,2,NN,0,abyss,abyss,abyss,0.018012399523854097,24.199394197802246,0,0,0,1,0,1,0,1,0,0,-1
academic,2,8,2.5649937350028022e-06,18.572613267270178,JJ,1,JJ,0,academ,academ,academ,0.1731150225688293,8.049848549450562,0,0,0,0,0,0,1,0,0,1,1
accident,25,8,3.206242168753503e-05,14.928757077495455,NN,3,NN,0,accid,accid,accid,0.01953919451530375,74.55840909126398,0,0,0,1,0,1,0,1,1,0,-1
accidental,8,10,1.0259974940011209e-05,16.572613267270178,JJ,2,JJ,0,accident,accident,accid,0.03966733423672053,36.6974553917507,0,0,0,1,0,1,0,0,1,0,-1
accompaniment,2,13,2.5649937350028022e-06,18.572613267270178,NN,2,NN,0,accompani,accompani,accompany,0.053189257709306256,14.099697098901123,0,1,0,0,1,0,1,0,0,1,1
accomplish,3,10,3.8474906025042036e-06,17.987650766549024,VB,1,VB,0,accomplish,accomplish,accompl,0.02012309628321023,19.394658146188217,0,0,0,0,1,0,1,0,0,0,1
accomplished,9,12,1.154247180751261e-05,16.402688265827866,VBN,3,VB,0,accomplish,accomplish,accompl,0.025283098075274648,40.39878839560449,0,0,0,0,1,0,1,0,0,0,1
accord,12,6,1.5389962410016814e-05,15.987650766549022,NN,1,NN,0,accord,accord,accord,0.022242861955921334,50.49458623894591,0,0,0,0,0,0,1,0,0,1,1
accurate,4,8,5.1299874700056045e-06,17.572613267270178,JJ,1,JJ,0,accur,accur,acc,0.021896870687540135,24.199394197802246,0,0,0,0,0,0,1,0,0,1,1
