term_str,n,n_chars,p,i,max_pos,n_pos,max_pos_group,stop,stem_porter,stem_snowball,stem_lancaster,tfidf_mean,dfidf
,473,0,0.0006066210183281628,10.686916893930784,NN,12,NN,0,,,,0.04912250255056101,139.15928626801121
03,1,2,1.2824968675014011e-06,19.572613267270178,NNP,1,NN,0,03,03,03,0.11337814858381073,8.049848549450562
1,5,1,6.412484337507005e-06,17.250685172382816,CD,2,CD,0,1,1,1,0.022721954622075137,24.199394197802246
10,1,2,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,10,10,10,0.02630669460604759,8.049848549450562
1030,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1030,1030,1030,0.007970147078663923,8.049848549450562
112,1,3,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,112,112,112,0.025555074760160515,8.049848549450562
118,1,3,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,118,118,118,0.023886790947924518,8.049848549450562
11th,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,11th,11th,11th,0.013218142117324404,8.049848549450562
12,11,2,1.4107465542515412e-05,16.11318164863288,CD,2,CD,0,12,12,12,0.08307129892410112,19.394658146188217
1215counted,1,11,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1215count,1215count,1215counted,0.023065468623067513,8.049848549450562
15,1,2,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,15,15,15,0.02630669460604759,8.049848549450562
1580,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1580,1580,1580,0.026832828498168544,8.049848549450562
158th,1,5,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,158th,158th,158th,0.040048997758460506,8.049848549450562
1660,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1660,1660,1660,0.026832828498168544,8.049848549450562
1697,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1697,1697,1697,0.03299118257971542,8.049848549450562
171st,1,5,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,171st,171st,171st,0.013218142117324404,8.049848549450562
175,1,3,1.2824968675014011e-06,19.572613267270178,JJ,1,JJ,0,175,175,175,0.059190062863607076,8.049848549450562
1760,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1760,1760,1760,0.035152177071836516,8.049848549450562
1769,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1769,1769,1769,0.04791576517530096,8.049848549450562
1780,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1780,1780,1780,0.042145803923824936,8.049848549450562
1797,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1797,1797,1797,0.035152177071836516,8.049848549450562
17th,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,17th,17th,17th,0.01716385618219736,8.049848549450562
18,1,2,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,18,18,18,0.019350597474640775,8.049848549450562
1804,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1804,1804,1804,0.035152177071836516,8.049848549450562
1812,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1812,1812,1812,0.08473524788895329,8.049848549450562
1831,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1831,1831,1831,0.1059190598611916,8.049848549450562
183260,1,6,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,183260,183260,183260,0.04680144505494513,8.049848549450562
1844,1,4,1.2824968675014011e-06,19.572613267270178,PRP,1,PR,0,1844,1844,1844,0.17499670759675134,8.049848549450562
1852,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1852,1852,1852,0.06491813346331099,8.049848549450562
1853,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1853,1853,1853,0.04259179126693419,8.049848549450562
1860,4,4,5.1299874700056045e-06,17.572613267270178,CD,1,CD,0,1860,1860,1860,0.06601934071692236,19.394658146188217
1862,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1862,1862,1862,0.026832828498168544,8.049848549450562
1864,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1864,1864,1864,0.016982802846942112,8.049848549450562
1866,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1866,1866,1866,0.035152177071836516,8.049848549450562
1868,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1868,1868,1868,0.1059190598611916,8.049848549450562
1870,3,4,3.8474906025042036e-06,17.987650766549024,CD,1,CD,0,1870,1870,1870,0.04130360333126302,19.394658146188217
1873,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1873,1873,1873,0.17499670759675134,8.049848549450562
1875,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1875,1875,1875,0.02665512764718729,8.049848549450562
1878,2,4,2.5649937350028022e-06,18.572613267270178,CD,1,CD,0,1878,1878,1878,0.03690018432753667,14.099697098901123
1879,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1879,1879,1879,0.08473524788895329,8.049848549450562
1880,4,4,5.1299874700056045e-06,17.572613267270178,CD,1,CD,0,1880,1880,1880,0.12970097140637143,24.199394197802246
1881,3,4,3.8474906025042036e-06,17.987650766549024,CD,1,CD,0,1881,1881,1881,0.2542057436668599,8.049848549450562
1884,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1884,1884,1884,0.06491813346331099,8.049848549450562
1890,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1890,1890,1890,0.24393480452880492,8.049848549450562
1895,3,4,3.8474906025042036e-06,17.987650766549024,CD,1,CD,0,1895,1895,1895,0.07766528315533607,19.394658146188217
1898,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1898,1898,1898,0.24393480452880492,8.049848549450562
18th,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,18th,18th,18th,0.030842331607090274,8.049848549450562
1900,2,4,2.5649937350028022e-06,18.572613267270178,CD,1,CD,0,1900,1900,1900,0.061773264984555876,14.099697098901123
1902,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1902,1902,1902,0.045223868255340235,8.049848549450562
1905,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1905,1905,1905,0.01716385618219736,8.049848549450562
1906,4,4,5.1299874700056045e-06,17.572613267270178,CD,1,CD,0,1906,1906,1906,0.06212705745428981,24.199394197802246
1908,2,4,2.5649937350028022e-06,18.572613267270178,CD,1,CD,0,1908,1908,1908,0.15422360564241122,14.099697098901123
1909,2,4,2.5649937350028022e-06,18.572613267270178,CD,1,CD,0,1909,1909,1909,0.1171972587029389,14.099697098901123
1910,8,4,1.0259974940011209e-05,16.572613267270178,CD,1,CD,0,1910,1910,1910,0.11263498062185462,19.394658146188217
1912,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1912,1912,1912,0.017730943941521065,8.049848549450562
1913,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1913,1913,1913,0.017730943941521065,8.049848549450562
1914,2,4,2.5649937350028022e-06,18.572613267270178,CD,1,CD,0,1914,1914,1914,0.12909991709093857,14.099697098901123
1915,2,4,2.5649937350028022e-06,18.572613267270178,CD,1,CD,0,1915,1915,1915,0.05011156669448253,14.099697098901123
1917,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1917,1917,1917,0.013218142117324404,8.049848549450562
1918,2,4,2.5649937350028022e-06,18.572613267270178,CD,1,CD,0,1918,1918,1918,0.029445262893749935,14.099697098901123
1919,10,4,1.282496867501401e-05,16.250685172382816,CD,1,CD,0,1919,1919,1919,0.0599554944873499,40.39878839560449
1920,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1920,1920,1920,0.14907126943426965,8.049848549450562
1922,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1922,1922,1922,0.030262588531769028,8.049848549450562
1924,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1924,1924,1924,0.019350597474640775,8.049848549450562
1925was,1,7,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,1925wa,1925was,1925was,0.19166306070120384,8.049848549450562
1st,30,3,3.847490602504203e-05,14.66572267166166,JJ,5,JJ,0,1st,1st,1st,0.5349763369289794,19.394658146188217
2,4,1,5.1299874700056045e-06,17.572613267270178,CD,2,CD,0,2,2,2,0.027194133373112255,19.394658146188217
20th,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,20th,20th,20th,0.0643987883956045,8.049848549450562
23,1,2,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,23,23,23,0.03425467467851303,8.049848549450562
238,1,3,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,238,238,238,0.021017881330158125,8.049848549450562
243260,1,6,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,243260,243260,243260,0.04680144505494513,8.049848549450562
24th,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,24th,24th,24th,0.0643987883956045,8.049848549450562
25,1,2,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,25,25,25,0.02563646034856867,8.049848549450562
25000,1,5,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,25000,25000,25000,0.050311553434066014,8.049848549450562
25th,4,4,5.1299874700056045e-06,17.572613267270178,CD,2,CD,0,25th,25th,25th,0.257595153582418,8.049848549450562
27,1,2,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,27,27,27,0.007970147078663923,8.049848549450562
2d,26,2,3.334491855503643e-05,14.872173549129087,JJ,5,JJ,0,2d,2d,2d,1.7587904393757532,8.049848549450562
3,8,1,1.0259974940011209e-05,16.572613267270178,CD,2,CD,0,3,3,3,0.025447182612570694,36.6974553917507
30,1,2,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,30,30,30,0.02267562971676215,8.049848549450562
300,1,3,1.2824968675014011e-06,19.572613267270178,NNP,1,NN,0,300,300,300,0.03272296158313237,8.049848549450562
3077,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,3077,3077,3077,0.02353756885804258,8.049848549450562
30th,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,30th,30th,30th,0.013218142117324404,8.049848549450562
310,2,3,2.5649937350028022e-06,18.572613267270178,CD,1,CD,0,310,310,310,0.046130937246135026,8.049848549450562
33rd,1,4,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,33rd,33rd,33rd,0.025077409811372468,8.049848549450562
350,1,3,1.2824968675014011e-06,19.572613267270178,FW,1,FW,0,350,350,350,0.013218142117324404,8.049848549450562
38,1,2,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,38,38,38,0.02563646034856867,8.049848549450562
3d,13,2,1.6672459277518214e-05,15.872173549129087,JJ,3,JJ,0,3d,3d,3d,0.8793952196878766,8.049848549450562
4,5,1,6.412484337507005e-06,17.250685172382816,CD,2,CD,0,4,4,4,0.031940745743691844,19.394658146188217
42,2,2,2.5649937350028022e-06,18.572613267270178,CD,1,CD,0,42,42,42,0.01471589752076771,14.099697098901123
430,2,3,2.5649937350028022e-06,18.572613267270178,CD,1,CD,0,430,430,430,0.06544592316626474,8.049848549450562
5,3,1,3.8474906025042036e-06,17.987650766549024,CD,1,CD,0,5,5,5,0.022451334862879452,14.099697098901123
500,3,3,3.8474906025042036e-06,17.987650766549024,CD,2,CD,0,500,500,500,0.0981688847493971,8.049848549450562
5th,1,3,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,5th,5th,5th,0.030262588531769028,8.049848549450562
6,1,1,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,6,6,6,0.017730943941521065,8.049848549450562
600,2,3,2.5649937350028022e-06,18.572613267270178,CD,1,CD,0,600,600,600,0.06544592316626474,8.049848549450562
615,1,3,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,615,615,615,0.03272296158313237,8.049848549450562
630,1,3,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,630,630,630,0.03272296158313237,8.049848549450562
66,1,2,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,66,66,66,0.02563646034856867,8.049848549450562
6th,1,3,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,6th,6th,6th,0.018985491861911702,8.049848549450562
7,1,1,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,7,7,7,0.007970147078663923,8.049848549450562
700,1,3,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,700,700,700,0.03272296158313237,8.049848549450562
715,1,3,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,715,715,715,0.03272296158313237,8.049848549450562
810,1,3,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,810,810,810,0.011925701554741572,8.049848549450562
815,1,3,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,815,815,815,0.03272296158313237,8.049848549450562
830,2,3,2.5649937350028022e-06,18.572613267270178,CD,1,CD,0,830,830,830,0.024429030021449694,14.099697098901123
85,1,2,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,85,85,85,0.06491813346331099,8.049848549450562
9,1,1,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,9,9,9,0.007970147078663923,8.049848549450562
90,1,2,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,90,90,90,0.007970147078663923,8.049848549450562
900,1,3,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,900,900,900,0.03272296158313237,8.049848549450562
911,1,3,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,911,911,911,0.017730943941521065,8.049848549450562
921,1,3,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,921,921,921,0.013218142117324404,8.049848549450562
93,1,2,1.2824968675014011e-06,19.572613267270178,CD,1,CD,0,93,93,93,0.023065468623067513,8.049848549450562
a,18385,1,0.02357870490901326,5.40637171117952,DT,9,DT,1,a,a,a,0.0025609154456530964,1.4399695443165765
aa,2,2,2.5649937350028022e-06,18.572613267270178,JJ,1,JJ,0,aa,aa,aa,0.0478599632128648,14.099697098901123
aall,1,4,1.2824968675014011e-06,19.572613267270178,NNP,1,NN,0,aall,aall,aal,0.016982802846942112,8.049848549450562
aalmost,1,7,1.2824968675014011e-06,19.572613267270178,VBN,1,VB,0,aalmost,aalmost,aalmost,0.017928393205903257,8.049848549450562
aaron,1,5,1.2824968675014011e-06,19.572613267270178,NNP,1,NN,0,aaron,aaron,aaron,0.013218142117324404,8.049848549450562
aback,9,5,1.154247180751261e-05,16.402688265827866,NN,5,NN,0,aback,aback,aback,0.019808143852932197,43.919311932074244
abandon,2,7,2.5649937350028022e-06,18.572613267270178,VB,2,VB,0,abandon,abandon,abandon,0.018473705054394256,14.099697098901123
abandoned,10,9,1.282496867501401e-05,16.250685172382816,VBD,2,VB,0,abandon,abandon,abandon,0.03759019190856171,43.919311932074244
abandonment,6,11,7.694981205008407e-06,16.987650766549024,NN,2,NN,0,abandon,abandon,abandon,0.020970253804658192,32.789316292376434
abandonments,1,12,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,abandon,abandon,abandon,0.012233812385183226,8.049848549450562
abasement,1,9,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,abas,abas,abas,0.03425467467851303,8.049848549450562
abases,1,6,1.2824968675014011e-06,19.572613267270178,VBZ,1,VB,0,abas,abas,abas,0.03425467467851303,8.049848549450562
abashed,3,7,3.8474906025042036e-06,17.987650766549024,NN,2,NN,0,abash,abash,abash,0.058202423916116096,19.394658146188217
